date,risk_score,alert
2005-01-28,0.08060752,False
2005-01-29,0.08612708,False
2005-01-30,0.08411644,False
2005-01-31,0.08332513,False
2005-02-01,0.08512671,False
2005-02-02,0.08699773,False
2005-02-03,0.08654205,False
2005-02-04,0.085101515,False
2005-02-05,0.08216319,False
2005-02-06,0.08343523,False
2005-02-07,0.083656184,False
2005-02-08,0.08556482,False
2005-02-09,0.083954155,False
2005-02-10,0.08298961,False
2005-02-11,0.08286222,False
2005-02-12,0.08352812,False
2005-02-13,0.08846175,False
2005-02-14,0.08541298,False
2005-02-15,0.08025457,False
2005-02-16,0.08105055,False
2005-02-17,0.078607894,False
2005-02-18,0.07917888,False
2005-02-19,0.07647838,False
2005-02-20,0.078659005,False
2005-02-21,0.07751144,False
2005-02-22,0.07734299,False
2005-02-23,0.07826683,False
2005-02-24,0.07871998,False
2005-02-25,0.08094404,False
2005-02-26,0.08169369,False
2005-02-27,0.08314455,False
2005-02-28,0.0844419,False
2005-03-01,0.08867355,False
2005-03-02,0.08471059,False
2005-03-03,0.098982096,False
2005-03-04,0.0890797,False
2005-03-05,0.08760252,False
2005-03-06,0.08815918,False
2005-03-07,0.097884364,False
2005-03-08,0.09340391,False
2005-03-09,0.08810577,False
2005-03-10,0.087237835,False
2005-03-11,0.083979756,False
2005-03-12,0.07925743,False
2005-03-13,0.07845998,False
2005-03-14,0.078604974,False
2005-03-15,0.079030305,False
2005-03-16,0.0801261,False
2005-03-17,0.0820258,False
2005-03-18,0.08139292,False
2005-03-19,0.08992004,False
2005-03-20,0.08774721,False
2005-03-21,0.08104461,False
2005-03-22,0.08309621,False
2005-03-23,0.08275914,False
2005-03-24,0.079487145,False
2005-03-25,0.08894354,False
2005-03-26,0.08202329,False
2005-03-27,0.08203417,False
2005-03-28,0.08237238,False
2005-03-29,0.07958151,False
2005-03-30,0.0795283,False
2005-03-31,0.07881181,False
2005-04-01,0.07969988,False
2005-04-02,0.0801503,False
2005-04-03,0.08110578,False
2005-04-04,0.079745844,False
2005-04-05,0.08081923,False
2005-04-06,0.08206937,False
2005-04-07,0.0823442,False
2005-04-08,0.084313706,False
2005-04-09,0.0829192,False
2005-04-10,0.07816065,False
2005-04-11,0.08060685,False
2005-04-12,0.08240419,False
2005-04-13,0.084334426,False
2005-04-14,0.08709038,False
2005-04-15,0.08555859,False
2005-04-16,0.084989086,False
2005-04-17,0.08374692,False
2005-04-18,0.08588645,False
2005-04-19,0.08662848,False
2005-04-20,0.08589207,False
2005-04-21,0.08485436,False
2005-04-22,0.089039624,False
2005-04-23,0.09054928,False
2005-04-24,0.0910567,False
2005-04-25,0.08758051,False
2005-04-26,0.08234722,False
2005-04-27,0.08356321,False
2005-04-28,0.081797384,False
2005-04-29,0.08140193,False
2005-04-30,0.08036839,False
2005-05-01,0.08152138,False
2005-05-02,0.08134094,False
2005-05-03,0.07939265,False
2005-05-04,0.080002524,False
2005-05-05,0.07953131,False
2005-05-06,0.07984537,False
2005-05-07,0.08268651,False
2005-05-08,0.08472487,False
2005-05-09,0.08415017,False
2005-05-10,0.08078844,False
2005-05-11,0.08011909,False
2005-05-12,0.07963605,False
2005-05-13,0.079512835,False
2005-05-14,0.07939326,False
2005-05-15,0.07942985,False
2005-05-16,0.078578226,False
2005-05-17,0.079618596,False
2005-05-18,0.080480695,False
2005-05-19,0.07953515,False
2005-05-20,0.07918758,False
2005-05-21,0.080350846,False
2005-05-22,0.08130462,False
2005-05-23,0.081171155,False
2005-05-24,0.078046665,False
2005-05-25,0.07606448,False
2005-05-26,0.076236695,False
2005-05-27,0.07713869,False
2005-05-28,0.07702427,False
2005-05-29,0.077265605,False
2005-05-30,0.0766812,False
2005-05-31,0.07801873,False
2005-06-01,0.07824944,False
2005-06-02,0.07672245,False
2005-06-03,0.07723165,False
2005-06-04,0.07728138,False
2005-06-05,0.07815353,False
2005-06-06,0.07696233,False
2005-06-07,0.07734877,False
2005-06-08,0.07732022,False
2005-06-09,0.07900107,False
2005-06-10,0.080094285,False
2005-06-11,0.0799497,False
2005-06-12,0.08052768,False
2005-06-13,0.08378381,False
2005-06-14,0.08206756,False
2005-06-15,0.08262889,False
2005-06-16,0.0896435,False
2005-06-17,0.09567255,False
2005-06-18,0.25905573,False
2005-06-19,0.13618295,False
2005-06-20,0.11653372,False
2005-06-21,0.11774813,False
2005-06-22,0.12311653,False
2005-06-23,0.13801113,False
2005-06-24,0.12787777,False
2005-06-25,0.12839381,False
2005-06-26,0.12971151,False
2005-06-27,0.1304216,False
2005-06-28,0.12491368,False
2005-06-29,0.118561216,False
2005-06-30,0.11466682,False
2005-07-01,0.112877175,False
2005-07-02,0.11123847,False
2005-07-03,0.12722538,False
2005-07-04,0.12408972,False
2005-07-05,0.123591155,False
2005-07-06,0.11349366,False
2005-07-07,0.097939156,False
2005-07-08,0.09469231,False
2005-07-09,0.090853244,False
2005-07-10,0.10776045,False
2005-07-11,0.09321982,False
2005-07-12,0.09930709,False
2005-07-13,0.09593881,False
2005-07-14,0.09378451,False
2005-07-15,0.09124628,False
2005-07-16,0.085329615,False
2005-07-17,0.09215574,False
2005-07-18,0.089076675,False
2005-07-19,0.112155095,False
2005-07-20,0.11064035,False
2005-07-21,0.11012035,False
2005-07-22,0.119471334,False
2005-07-23,0.119351245,False
2005-07-24,0.11534992,False
2005-07-25,0.115560286,False
2005-07-26,0.11383996,False
2005-07-27,0.109846786,False
2005-07-28,0.10918081,False
2005-07-29,0.10259515,False
2005-07-30,0.09766925,False
2005-07-31,0.09540205,False
2005-08-01,0.09335669,False
2005-08-02,0.09859295,False
2005-08-03,0.09955854,False
2005-08-04,0.09681838,False
2005-08-05,0.09298067,False
2005-08-06,0.08884797,False
2005-08-07,0.08630272,False
2005-08-08,0.09180533,False
2005-08-09,0.09760096,False
2005-08-10,0.100166626,False
2005-08-11,0.112650394,False
2005-08-12,0.11783477,False
2005-08-13,0.14022544,False
2005-08-14,0.17233162,False
2005-08-15,0.1293885,False
2005-08-16,0.13158683,False
2005-08-17,0.13981669,False
2005-08-18,0.18350878,False
2005-08-19,0.17584546,False
2005-08-20,0.24868451,False
2005-08-21,0.32380232,False
2005-08-22,0.349544,False
2005-08-23,0.40356302,False
2005-08-24,0.51498955,True
2005-08-25,0.52712196,True
2005-08-26,0.5309679,True
2005-08-27,0.5338868,True
2005-08-28,0.5357871,True
2005-08-29,0.53731424,True
2005-08-30,0.53797084,True
2005-08-31,0.5383545,True
2005-09-01,0.5390812,True
2005-09-02,0.5394793,True
2005-09-03,0.53928643,True
2005-09-04,0.5398576,True
2005-09-05,0.5404198,True
2005-09-06,0.2128523,False
2005-09-07,0.12763964,False
2005-09-08,0.09020806,False
2005-09-09,0.123515636,False
2005-09-10,0.15035978,False
2005-09-11,0.1423818,False
2005-09-12,0.12689158,False
2005-09-13,0.12717995,False
2005-09-14,0.119684525,False
2005-09-15,0.10230095,False
2005-09-16,0.098510765,False
2005-09-17,0.09755892,False
2005-09-18,0.10559123,False
2005-09-19,0.105397984,False
2005-09-20,0.100887515,False
2005-09-21,0.09106049,False
2005-09-22,0.108443335,False
2005-09-23,0.10487541,False
2005-09-24,0.101254195,False
2005-09-25,0.1024778,False
2005-09-26,0.109824665,False
2005-09-27,0.09484877,False
2005-09-28,0.10290721,False
2005-09-29,0.10240492,False
2005-09-30,0.100406885,False
2005-10-01,0.09759753,False
2005-10-02,0.09277206,False
2005-10-03,0.092276484,False
2005-10-04,0.098433726,False
2005-10-05,0.10329645,False
2005-10-06,0.102417886,False
2005-10-07,0.099908404,False
2005-10-08,0.14441885,False
2005-10-09,0.21952586,False
2005-10-10,0.25081944,False
2005-10-11,0.09992625,False
2005-10-12,0.09119139,False
2005-10-13,0.0866216,False
2005-10-14,0.094074406,False
2005-10-15,0.1144221,False
2005-10-16,0.10676442,False
2005-10-17,0.11271949,False
2005-10-18,0.2524757,False
2005-10-19,0.10323513,False
2005-10-20,0.09362478,False
2005-10-21,0.11486239,False
2005-10-22,0.11413186,False
2005-10-23,0.106201105,False
2005-10-24,0.11342235,False
2005-10-25,0.11199727,False
2005-10-26,0.11170439,False
2005-10-27,0.11217572,False
2005-10-28,0.13319325,False
2005-10-29,0.13716179,False
2005-10-30,0.16924766,False
2005-10-31,0.160401,False
2005-11-01,0.14495884,False
2005-11-02,0.15014355,False
2005-11-03,0.15681402,False
2005-11-04,0.14981733,False
2005-11-05,0.13531245,False
2005-11-06,0.19028111,False
2005-11-07,0.17791823,False
2005-11-08,0.11564991,False
2005-11-09,0.09071578,False
2005-11-10,0.08910713,False
2005-11-11,0.0891458,False
2005-11-12,0.08624397,False
2005-11-13,0.08766562,False
2005-11-14,0.08271129,False
2005-11-15,0.08191629,False
2005-11-16,0.08071204,False
2005-11-17,0.08116859,False
2005-11-18,0.07968331,False
2005-11-19,0.07991613,False
2005-11-20,0.08102118,False
2005-11-21,0.080219746,False
2005-11-22,0.08121167,False
2005-11-23,0.08159655,False
2005-11-24,0.08160416,False
2005-11-25,0.08023205,False
2005-11-26,0.07880362,False
2005-11-27,0.07850658,False
2005-11-28,0.08554398,False
2005-11-29,0.08550169,False
2005-11-30,0.09571331,False
2005-12-01,0.09339152,False
2005-12-02,0.09283055,False
2005-12-03,0.11515009,False
2005-12-04,0.10218349,False
2005-12-05,0.10533841,False
2005-12-06,0.10669814,False
2005-12-07,0.10838981,False
2005-12-08,0.10834797,False
2005-12-09,0.111494854,False
2005-12-10,0.11073002,False
2005-12-11,0.11016821,False
2005-12-12,0.104429066,False
2005-12-13,0.089864485,False
2005-12-14,0.13957979,False
2005-12-15,0.19117452,False
2005-12-16,0.082644925,False
2005-12-17,0.08104904,False
2005-12-18,0.082027294,False
2005-12-19,0.08242122,False
2005-12-20,0.08178729,False
2005-12-21,0.08319829,False
2005-12-22,0.08546864,False
2005-12-23,0.08489819,False
2005-12-24,0.08265359,False
2005-12-25,0.081083395,False
2005-12-26,0.0823027,False
2005-12-27,0.07979804,False
2005-12-28,0.081718236,False
2005-12-29,0.080618344,False
2005-12-30,0.08024539,False
2005-12-31,0.07972555,False
2006-01-01,0.07981307,False
2006-01-02,0.07921551,False
2006-01-03,0.08283621,False
2006-01-04,0.08021715,False
2006-01-05,0.087847166,False
2006-01-06,0.08082067,False
2006-01-07,0.07812922,False
2006-01-08,0.07674118,False
2006-01-09,0.07685038,False
2006-01-10,0.077034734,False
2006-01-11,0.07766174,False
2006-01-12,0.07797683,False
2006-01-13,0.07673898,False
2006-01-14,0.076358564,False
2006-01-15,0.07773909,False
2006-01-16,0.07873108,False
2006-01-17,0.08023338,False
2006-01-18,0.07831596,False
2006-01-19,0.07806838,False
2006-01-20,0.08387141,False
2006-01-21,0.079364814,False
2006-01-22,0.08022799,False
2006-01-23,0.080551,False
2006-01-24,0.079052605,False
2006-01-25,0.08223656,False
2006-01-26,0.0819769,False
2006-01-27,0.08239435,False
