Threshold,TP,FP,TN,FN,Recall,FPR
30,9,3,7100,0,1.0,0.0004
40,9,3,7100,0,1.0,0.0004
50,9,3,7100,0,1.0,0.0004
60,9,2,7101,0,1.0,0.0003
70,9,2,7101,0,1.0,0.0003
