event_date,detected,first_detection,lead_time_days,max_score
2005-09-05,Yes,2005-08-29,7,100.0
2007-08-26,Yes,2007-08-19,7,100.0
2008-08-10,Yes,2008-08-03,7,100.0
2009-08-18,Yes,2009-08-11,7,100.0
2010-06-26,Yes,2010-06-19,7,100.0
2011-07-15,Yes,2011-07-08,7,100.0
2015-10-10,Yes,2015-10-03,7,100.0
2019-06-23,Yes,2019-06-16,7,100.0
2020-07-02,Yes,2020-06-25,7,100.0
