Threshold,TP,FP,TN,FN,Recall,FPR
40,3,324,6806,6,0.3333,0.0454
50,0,0,7130,9,0.0,0.0
60,0,0,7130,9,0.0,0.0
70,0,0,7130,9,0.0,0.0
