event_start_date,detected,first_detection_date,max_risk_score
2005-09-05,Yes,2005-09-06,45.27
2007-08-26,Yes,2007-08-25,46.46
2008-08-10,No,N/A,9.76
2009-08-18,Yes,2009-08-21,44.29
2010-06-26,No,N/A,4.94
2011-07-15,No,N/A,20.1
2015-10-10,No,N/A,3.22
2019-06-23,No,N/A,12.66
2020-07-02,No,N/A,39.8
