threshold,recall,fpr
0.05,1.0,0.028011204481792718
0.07500000000000001,1.0,0.028011204481792718
0.10000000000000002,1.0,0.025210084033613446
0.12500000000000003,1.0,0.022408963585434174
0.15000000000000002,1.0,0.014005602240896359
0.17500000000000004,1.0,0.011204481792717087
0.20000000000000007,1.0,0.011204481792717087
0.22500000000000003,1.0,0.011204481792717087
0.25000000000000006,1.0,0.008403361344537815
0.2750000000000001,1.0,0.008403361344537815
0.3000000000000001,1.0,0.008403361344537815
0.32500000000000007,1.0,0.008403361344537815
0.3500000000000001,1.0,0.008403361344537815
0.3750000000000001,1.0,0.0056022408963585435
0.4000000000000001,1.0,0.0028011204481792717
0.4250000000000001,1.0,0.0028011204481792717
0.4500000000000001,1.0,0.0028011204481792717
0.47500000000000014,1.0,0.0028011204481792717
0.5000000000000002,1.0,0.0028011204481792717
0.5250000000000001,1.0,0.0028011204481792717
0.5500000000000003,1.0,0.0028011204481792717
0.5750000000000002,1.0,0.0028011204481792717
0.6000000000000002,1.0,0.0028011204481792717
0.6250000000000002,1.0,0.0028011204481792717
0.6500000000000002,1.0,0.0028011204481792717
0.6750000000000003,1.0,0.0028011204481792717
0.7000000000000003,1.0,0.0028011204481792717
0.7250000000000003,1.0,0.0
0.7500000000000002,1.0,0.0
0.7750000000000002,1.0,0.0
0.8000000000000003,1.0,0.0
0.8250000000000003,1.0,0.0
0.8500000000000003,1.0,0.0
0.8750000000000003,1.0,0.0
0.9000000000000004,1.0,0.0
0.9250000000000004,1.0,0.0
