date,RH2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M_mean_3,RH2M_mean_5,RH2M_mean_7,RH2M_mean_14,rainfall_sum_3,rainfall_sum_5,rainfall_sum_7,temp_std_3,temp_std_5,RH2M_diff_1,RH2M_diff_3,rainfall_diff_3,RH2M_accel,RH2M_trend_3,high_humidity_flag,humidity_streak,rainfall_spike,rainfall_onset,temp_stability,state,risk_raw,pre_risk,variety_susceptibility,risk
2022-10-21,75.5,0.65,29.11,29.54,28.47,79.07999999999997,78.994,79.37857142857142,79.39428571428572,3.420000000000014,6.990000000000014,10.469999999999956,0.5293706955743427,0.47044659633115493,-4.640000000000001,-6.8799999999999955,-2.1,-3.180000000000007,-3.0499999999999936,0,0,False,False,True,DRY,0,0,0,0
2022-10-22,78.84,1.41,29.15,29.38,28.9,78.15999999999998,79.692,78.89999999999999,79.35857142857142,3.1000000000000143,7.580000000000014,9.839999999999957,0.48538644397985437,0.5169332645512061,3.3400000000000034,-2.759999999999991,-0.32000000000000006,7.980000000000004,-0.6500000000000016,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-10-23,76.36,0.54,28.81,29.27,28.2,76.89999999999998,78.488,78.59571428571428,79.70714285714287,2.6000000000000143,5.370000000000014,8.939999999999955,0.18583146486179253,0.4709352397087765,-2.480000000000004,-3.780000000000001,-0.5,-5.820000000000007,0.42999999999998945,0,0,False,False,True,DRY,0,0,0,0
2022-10-24,61.57,0.0,29.06,29.34,28.78,72.25666666666665,74.482,76.62714285714286,78.57071428571429,1.9500000000000144,3.6400000000000143,8.119999999999955,0.17616280348781244,0.35746328482734563,-14.79,-13.93,-0.65,-12.309999999999995,-8.635,0,0,False,False,True,DRY,0,0,0,0
2022-10-25,57.25,0.0,28.84,29.04,28.66,65.05999999999997,69.904,73.03714285714285,76.86,0.5400000000000142,2.6000000000000143,5.369999999999957,0.13650396819405583,0.1578923684018695,-4.32,-21.590000000000003,-1.41,10.469999999999999,-9.55499999999999,0,0,False,False,True,DRY,0,0,0,0
2022-10-26,60.2,0.0,28.83,29.09,28.54,59.67333333333331,66.844,69.97999999999999,75.48357142857142,0.0,1.9500000000000144,3.6399999999999566,0.12999999999764641,0.15610893632189732,2.950000000000003,-16.159999999999997,-0.54,7.270000000000003,-0.6850000000000043,0,0,False,False,True,DRY,0,0,0,0
2022-10-27,67.84,0.0,28.77,28.96,28.52,61.763333333333314,64.644,68.22285714285714,74.49857142857142,0.0,0.5400000000000142,2.5999999999999566,0.03785938896439864,0.11388590781812039,7.640000000000001,6.270000000000003,0.0,4.689999999999998,5.294999999999994,0,0,False,False,True,DRY,0,0,0,0
2022-10-28,67.28,0.01,28.68,28.95,28.26,65.10666666666664,62.827999999999996,67.04857142857144,73.21357142857143,0.010000000000014211,0.010000000000014211,1.9599999999999567,0.07549834434902551,0.14046351839377544,-0.5600000000000023,10.030000000000001,0.01,-8.200000000000003,3.5400000000000045,0,0,False,False,True,DRY,0,0,0,0
2022-10-29,62.6,0.0,29.11,29.35,28.78,65.90666666666664,63.034000000000006,64.72857142857143,71.81428571428572,0.010000000000014211,0.010000000000014211,0.5499999999999565,0.226789182574352,0.16071714283037142,-4.68,2.3999999999999986,0.0,-4.119999999999997,-2.6200000000000054,0,0,False,False,True,DRY,0,0,0,0
2022-10-30,64.81,0.0,29.0,29.18,28.78,64.89666666666663,64.546,63.07857142857143,70.83714285714287,0.010000000000014211,0.010000000000014211,0.00999999999995648,0.2233830790355014,0.17455658108348882,2.210000000000001,-3.030000000000001,0.0,6.890000000000001,-1.2349999999999985,0,0,False,False,True,DRY,0,0,0,0
