,0,1,2,3,4,mean,std
WS10M,0.03027516623376018,0.024765494250860463,0.02238323066328979,0.01732730559902595,0.015454171872591953,0.02204107372390567,0.0053093635018460665
T2M,0.001619531049532725,0.011919183611897775,0.009759445878114816,0.006885585994488792,0.011265435480485354,0.008289836402903893,0.0037590157158573063
RH2M,0.03192109503342052,0.041494019635164386,0.03195303677020494,0.021611160163830533,0.032310504129013984,0.03185796314632687,0.006293939529234455
T2M_MIN,0.0033282554970185223,0.008893098458036203,0.008969708565573203,0.009905809389701379,0.009768265278996394,0.00817302743786514,0.0024565152274935156
T2M_MAX,0.00444021313908714,0.01162324930779216,0.00918854871084982,0.007522335969849766,0.010236287295682813,0.00860212688465234,0.002475036401673035
PRECTOTCORR,0.08426255609493097,0.11195300867274771,0.10129482665634816,0.08817475528299651,0.09243887925287053,0.09562480519197877,0.009934922693156474
temp_range,0.00830611486682049,0.010848327263727562,0.009117208444579533,0.00954556816040902,0.013568179287428086,0.010277079604592938,0.00183971590789283
temp_mean_3d,0.0068431800590906,0.011929984716611068,0.01290041306079296,0.009088138799642282,0.013278482295338696,0.010808039786295121,0.002466497297678702
temp_mean_7d,0.014604066757865354,0.012660928403721372,0.011901436034171042,0.011381986838809413,0.012378239513399699,0.012585331509593378,0.0010990582701487955
temp_mean_14d,0.009201638146696592,0.014777289685539678,0.009704942391249785,0.011304515009783078,0.012423498893735533,0.011482376825400934,0.0020067305956262883
rain_3d,0.05530317988732524,0.08218057928616751,0.08122182131267257,0.0892687044155818,0.08780466492594398,0.07915578996553822,0.012324276208032958
rain_7d,0.04221747534108131,0.022037106279261837,0.015985063245429684,0.02656352028957687,0.023189970154711362,0.025998627062012215,0.008800270503818323
rain_14d,0.047018590815840956,0.03962935181626413,0.030297593665793644,0.03202946166586082,0.030532161590031057,0.035901431910758126,0.006522466241735064
is_rainy,0.04583150462734844,0.040312284587716275,0.04937650042946698,0.08650157162728511,0.05864079196609245,0.05613253064758185,0.0163132172893095
dry_spell_7d,0.015235209343731144,0.02743238407912396,0.030784757393548325,0.03312351274081412,0.03440346734547346,0.0281958661805382,0.00690043333594868
rh_3d,0.03128326691377196,0.020244944242709274,0.03561326070178653,0.030040922017257065,0.038619306793126314,0.03116034013373023,0.006259053611878686
rh_7d,0.07908812675382663,0.05931643469031542,0.05858379530610115,0.04233457780534449,0.03920583762776603,0.05570575443667074,0.014276491764612
high_humidity,0.0008269899981005556,0.009332030146094109,0.01193096061776514,0.007225958387442007,0.0007037933248255701,0.006003946494845476,0.004529711965754698
wind_3d,0.05046392055268444,0.03354256423140977,0.020767535160825343,0.0240838141260504,0.01522129047944023,0.028815824910082038,0.012352816439153742
temp_lag_1,0.005647406589524724,0.008435238611373302,0.011260111699079131,0.014733011820094018,0.009202821333419361,0.009855718010698107,0.0030303213475742882
rain_lag_1,0.051883941762715116,0.03394751192159671,0.0412018521728647,0.04144365482634908,0.04898665725891694,0.04349272358848851,0.006342770530662501
rh_lag_1,0.02668657996809006,0.018315698767478,0.01770809428834835,0.01798727630117881,0.01044098440893438,0.018227726746805922,0.005148225469824264
temp_lag_2,0.009746871624130812,0.0074474974582750385,0.010505344752683882,0.011506883694118808,0.00995385573187454,0.009832090652216616,0.0013391472312605862
rain_lag_2,0.023649608680469957,0.05389894869602101,0.052427429120838254,0.050470126462074154,0.04850542945308969,0.04579030848249861,0.011218596903451698
rh_lag_2,0.02903783464081216,0.026035626649617036,0.040742834988550296,0.02534815030417871,0.01964022181515942,0.028160933679663526,0.006987194097912264
temp_lag_3,0.008783752194483296,0.008754213211718778,0.012408484687961787,0.010149371770512262,0.010443824404014953,0.010107929253738216,0.001341125672469913
rain_lag_3,0.015672379026727825,0.023864028680976625,0.025297174065167495,0.0435649902546911,0.042477403293879654,0.03017519506428854,0.010996258687118883
rh_lag_3,0.03774446778297318,0.0287552151800512,0.019750915100290856,0.019433459480077412,0.02315655480280782,0.025768122469240096,0.006863098357452214
temp_lag_7,0.006939586218214741,0.012249257456833902,0.010859194374431955,0.009583378815484373,0.010555286233214233,0.01003734061963584,0.0017685276926715113
rain_lag_7,0.01779397616486373,0.013860219244598156,0.015410992729073491,0.010782488951101756,0.021561262371481947,0.015881787892223814,0.003639344224560336
rh_lag_7,0.03268868152694414,0.01597305093849055,0.012767499662210764,0.008349605599048949,0.012710120708384837,0.016497791687015848,0.008450736455702325
month,0.0036972900937539076,0.008653655420255561,0.006736915948444207,0.008447523514136461,0.007233699273122199,0.006953816849942468,0.001780503156381887
dayofyear,0.014629737042463163,0.013903949895053376,0.016136012290164124,0.01832893690111161,0.027416970204657224,0.018083121266689896,0.004906398488566365
week,0.010762644062691387,0.01846348948147011,0.015151820640363073,0.018212181721141103,0.01178565448212661,0.014875158077558456,0.0031795029556347374
sin_day,0.015821788974849014,0.015421022024542602,0.012202190124300705,0.012521013487429521,0.01376617639837624,0.013946438201899617,0.0014695624697331823
cos_day,0.04215747777431689,0.016731942418327855,0.01943240016190779,0.03072496826013541,0.03009538529514124,0.02782843478196584,0.009082686651134424
moisture_stress,0.004125011277334246,0.009791571509044842,0.011116189522916759,0.015027940540643445,0.01399682234865928,0.010811507039719715,0.0038410121209851884
crop_age_days,0.010158658439291004,0.00627951826968447,0.007677908586473356,0.008332167567134573,0.006668302539032321,0.007823311080323145,0.0013748647256410632
suppress_alert,3.269972818036004e-18,0.0018515442836365267,0.0005014771522653716,0.0011240452564504505,0.0004736351045882925,0.0007901403593881289,0.0006396709437966367
wet_streak,0.000762914319253585,0.0007092278435040666,0.0012088462098683438,0.002832174320692445,0.001941479780393812,0.0014909284947424504,0.0008028160175195088
