date,risk_score,alert,true_label
2019-01-29,2.3065867e-13,0,0.0
2019-01-30,2.2098064e-13,0,0.0
2019-01-31,2.2588389e-13,0,0.0
2019-02-01,2.2860232e-13,0,0.0
2019-02-02,2.4904067e-13,0,0.0
2019-02-03,2.5591017e-13,0,0.0
2019-02-04,2.8843966e-13,0,0.0
2019-02-05,3.2735406e-13,0,0.0
2019-02-06,3.6869485e-13,0,0.0
2019-02-07,3.8385465e-13,0,0.0
2019-02-08,4.2054825e-13,0,0.0
2019-02-09,4.6830346e-13,0,0.0
2019-02-10,5.065017e-13,0,0.0
2019-02-11,5.423884e-13,0,0.0
2019-02-12,5.8621787e-13,0,0.0
2019-02-13,6.809968e-13,0,0.0
2019-02-14,7.4405705e-13,0,0.0
2019-02-15,8.0781426e-13,0,0.0
2019-02-16,8.7391536e-13,0,0.0
2019-02-17,9.377889e-13,0,0.0
2019-02-18,1.0082946e-12,0,0.0
2019-02-19,1.0917787e-12,0,0.0
2019-02-20,1.1860011e-12,0,0.0
2019-02-21,1.3268478e-12,0,0.0
2019-02-22,1.4433019e-12,0,0.0
2019-02-23,1.5548471e-12,0,0.0
2019-02-24,1.6614205e-12,0,0.0
2019-02-25,1.8108758e-12,0,0.0
2019-02-26,1.9333857e-12,0,0.0
2019-02-27,2.1176654e-12,0,0.0
2019-02-28,2.23819e-12,0,0.0
2019-03-01,2.3881142e-12,0,0.0
2019-03-02,2.5296024e-12,0,0.0
2019-03-03,2.8100888e-12,0,0.0
2019-03-04,3.0060748e-12,0,0.0
2019-03-05,3.3579287e-12,0,0.0
2019-03-06,3.5521293e-12,0,0.0
2019-03-07,3.9717366e-12,0,0.0
2019-03-08,4.24155e-12,0,0.0
2019-03-09,4.6260244e-12,0,0.0
2019-03-10,4.8775636e-12,0,0.0
2019-03-11,5.2892764e-12,0,0.0
2019-03-12,5.501719e-12,0,0.0
2019-03-13,5.818448e-12,0,0.0
2019-03-14,6.1703828e-12,0,0.0
2019-03-15,6.5723737e-12,0,0.0
2019-03-16,6.961035e-12,0,0.0
2019-03-17,7.199915e-12,0,0.0
2019-03-18,7.64933e-12,0,0.0
2019-03-19,7.7481676e-12,0,0.0
2019-03-20,8.565029e-12,0,0.0
2019-03-21,9.029304e-12,0,0.0
2019-03-22,1.011292e-11,0,0.0
2019-03-23,1.0175492e-11,0,0.0
2019-03-24,1.11763385e-11,0,0.0
2019-03-25,1.0630419e-11,0,0.0
2019-03-26,1.1422255e-11,0,0.0
2019-03-27,9.921367e-12,0,0.0
2019-03-28,9.71434e-12,0,0.0
2019-03-29,8.719678e-12,0,0.0
2019-03-30,9.332679e-12,0,0.0
2019-03-31,8.141954e-12,0,0.0
2019-04-01,7.567094e-12,0,0.0
2019-04-02,6.5037624e-12,0,0.0
2019-04-03,6.3474343e-12,0,0.0
2019-04-04,5.2165086e-12,0,0.0
2019-04-05,4.5723217e-12,0,0.0
2019-04-06,3.9148845e-12,0,0.0
2019-04-07,3.457088e-12,0,0.0
2019-04-08,3.0478916e-12,0,0.0
2019-04-09,2.5610271e-12,0,0.0
2019-04-10,2.2009488e-12,0,0.0
2019-04-11,1.9105587e-12,0,0.0
2019-04-12,1.6474413e-12,0,0.0
2019-04-13,1.4122524e-12,0,0.0
2019-04-14,1.2371096e-12,0,0.0
2019-04-15,1.0642727e-12,0,0.0
2019-04-16,8.774395e-13,0,0.0
2019-04-17,7.3449986e-13,0,0.0
2019-04-18,6.6644455e-13,0,0.0
2019-04-19,6.1356416e-13,0,0.0
2019-04-20,5.514481e-13,0,0.0
2019-04-21,5.16661e-13,0,0.0
2019-04-22,4.7007537e-13,0,0.0
2019-04-23,4.1088853e-13,0,0.0
2019-04-24,3.5628144e-13,0,0.0
2019-04-25,3.699205e-13,0,0.0
2019-04-26,3.7366686e-13,0,0.0
2019-04-27,3.8659971e-13,0,0.0
2019-04-28,3.6543858e-13,0,0.0
2019-04-29,3.9502182e-13,0,0.0
2019-04-30,3.3623234e-13,0,0.0
2019-05-01,3.2405968e-13,0,0.0
2019-05-02,2.7787584e-13,0,0.0
2019-05-03,3.3334734e-13,0,0.0
2019-05-04,2.7862098e-13,0,0.0
2019-05-05,3.273828e-13,0,0.0
2019-05-06,3.2137043e-13,0,0.0
2019-05-07,3.4339277e-13,0,0.0
2019-05-08,2.7963677e-13,0,0.0
2019-05-09,2.8403067e-13,0,0.0
2019-05-10,2.4990288e-13,0,0.0
2019-05-11,3.3771832e-13,0,0.0
2019-05-12,2.8670314e-13,0,0.0
2019-05-13,3.7288155e-13,0,0.0
2019-05-14,3.7869363e-13,0,0.0
2019-05-15,4.367117e-13,0,0.0
2019-05-16,3.9660492e-13,0,0.0
2019-05-17,4.4337152e-13,0,0.0
2019-05-18,4.0040074e-13,0,0.0
2019-05-19,4.676715e-13,0,0.0
2019-05-20,4.2706016e-13,0,0.0
2019-05-21,4.904989e-13,0,0.0
2019-05-22,5.0289563e-13,0,0.0
2019-05-23,4.8268545e-13,0,0.0
2019-05-24,4.3551556e-13,0,0.0
2019-05-25,3.9271022e-13,0,0.0
2019-05-26,3.2599325e-13,0,0.0
2019-05-27,2.875871e-13,0,0.0
2019-05-28,2.198984e-13,0,0.0
2019-05-29,2.3066702e-13,0,0.0
2019-05-30,1.9547203e-13,0,0.0
2019-05-31,2.1130126e-13,0,0.0
2019-06-01,1.2876909e-13,0,0.0
2019-06-02,1.2736772e-13,0,0.0
2019-06-03,7.7511456e-14,0,0.0
2019-06-04,7.1359924e-14,0,0.0
2019-06-05,4.0068477e-14,0,0.0
2019-06-06,5.6501404e-14,0,0.0
2019-06-07,4.1871115e-14,0,0.0
2019-06-08,6.626947e-14,0,0.0
2019-06-09,5.852535e-14,0,0.0
2019-06-10,1.0840012e-13,0,0.0
2019-06-11,1.4010411e-11,0,0.0
2019-06-12,3.2827352e-11,0,0.0
2019-06-13,5.6460232e-11,0,0.0
2019-06-14,1.1796807e-10,0,0.0
2019-06-15,7.502287e-10,0,1.0
2019-06-16,1.4518134e-09,0,1.0
2019-06-17,1.9288913e-09,0,1.0
